model,feature_set,repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
LR,combined,3,4,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816
NB,combined,3,4,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
kNN,combined,3,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
DT,combined,3,4,0.75,0.7857142857142857,0.8055555555555555,0.7857142857142857,0.7904761904761904,0.5277986629117476
RF,combined,3,4,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
SVM,combined,3,4,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,3,4,0.75,0.7857142857142857,0.8055555555555555,0.7857142857142857,0.7904761904761904,0.5277986629117476
GBT,combined,3,4,0.75,0.75,0.9,0.75,0.7411764705882353,0.5765566601970551
LR,combined,4,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
NB,combined,4,0,0.8333333333333334,0.7857142857142857,0.8690476190476191,0.7857142857142857,0.7936507936507936,0.7127227606745064
kNN,combined,4,0,0.8333333333333334,0.7222222222222222,0.9259259259259259,0.7222222222222222,0.7805555555555556,0.7105181184430335
DT,combined,4,0,0.75,0.6666666666666666,0.5666666666666667,0.6666666666666666,0.6078431372549019,0.5936657514041415
RF,combined,4,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
SVM,combined,4,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
AB,combined,4,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
GBT,combined,4,0,0.75,0.6666666666666666,0.5666666666666667,0.6666666666666666,0.6078431372549019,0.5936657514041415
LR,combined,4,1,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
NB,combined,4,1,1.0,1.0,1.0,1.0,1.0,1.0
