model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
GBT,postural,7,4,0.7277777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,8,0,0.6611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,8,1,0.8407407407407409,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,8,2,0.8987654320987654,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,8,3,0.6944444444444443,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,8,4,0.611111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,9,0,0.7777777777777778,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,9,1,0.7475308641975308,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,9,2,0.7419753086419753,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,9,3,0.8444444444444444,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,9,4,0.6944444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,0,0,0.9777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,0,1,0.9777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,0,2,0.911111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,0,3,0.9277777777777777,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,0,4,0.9499999999999998,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,1,0,0.9333333333333332,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,1,1,0.9333333333333332,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,1,2,0.9555555555555554,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,1,3,1.0,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,1,4,0.8666666666666666,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,2,0,0.9555555555555554,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,2,1,0.9666666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,2,2,0.9555555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,2,3,0.9166666666666666,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,2,4,0.9722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,3,0,0.9499999999999998,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,3,1,1.0,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,3,2,0.9444444444444443,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,3,3,0.9055555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,3,4,0.9444444444444443,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,4,0,0.9555555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,4,1,0.9333333333333332,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,4,2,0.9666666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,4,3,0.9444444444444443,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,4,4,0.9722222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,5,0,0.9777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,5,1,0.8709876543209876,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,5,2,0.965432098765432,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,5,3,0.9722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,5,4,0.9055555555555554,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,6,0,0.9666666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,6,1,0.9333333333333332,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,6,2,0.9444444444444445,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,6,3,0.9277777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,6,4,0.9777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,7,0,1.0,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,7,1,0.9543209876543209,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,nonpostural,7,2,0.9111111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,7,3,0.9277777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,7,4,0.8944444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,8,0,0.9722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,8,1,0.9611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,8,2,0.9777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,8,3,0.9611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,8,4,0.9611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,9,0,0.9611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,nonpostural,9,1,0.965432098765432,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,9,2,0.9055555555555556,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,9,3,0.9611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,nonpostural,9,4,1.0,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
