model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
DT,combined,2,0,0.8888888888888888,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,2,0,0.9777777777777777,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,2,0,0.7722222222222223,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,2,0,0.9666666666666667,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,2,0,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,2,1,0.8876543209876543,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,2,1,0.8777777777777778,"{""model__var_smoothing"": 1e-11}"
kNN,combined,2,1,0.8166666666666665,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,2,1,0.8888888888888888,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,2,1,0.9419753086419753,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}"
SVM,combined,2,1,0.8333333333333334,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,2,1,0.8333333333333334,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,2,1,0.8666666666666666,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,2,2,0.9432098765432099,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,2,2,0.7765432098765431,"{""model__var_smoothing"": 1e-11}"
kNN,combined,2,2,0.79320987654321,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,2,2,0.9,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,2,2,0.9888888888888889,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,2,2,0.9333333333333335,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
