repeat,fold,weighted,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc,sensitivity_set
5,0,False,0.8333333333333334,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625,0.7213357077339458,imbalance_weighting
5,1,False,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365,imbalance_weighting
5,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
5,3,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
5,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
6,0,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
6,1,False,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365,imbalance_weighting
6,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
6,3,False,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631,imbalance_weighting
6,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
7,0,False,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
7,1,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
7,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
7,3,False,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631,imbalance_weighting
7,4,False,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
8,0,False,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
8,1,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
8,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
8,3,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
8,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,0,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,1,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,2,False,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076,imbalance_weighting
9,3,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
0,0,True,0.6666666666666666,0.8095238095238094,0.8095238095238096,0.8095238095238094,0.7333333333333334,0.6097560975609756,imbalance_weighting
0,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,2,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,3,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,4,True,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
1,0,True,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205,imbalance_weighting
1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
1,2,True,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076,imbalance_weighting
1,3,True,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
1,4,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,0,True,0.8333333333333334,0.9047619047619048,0.8666666666666667,0.9047619047619048,0.8611111111111112,0.768273325346536,imbalance_weighting
2,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,2,True,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065,imbalance_weighting
2,3,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,4,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,0,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,1,True,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065,imbalance_weighting
3,2,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,4,True,0.75,0.7857142857142857,0.8055555555555555,0.7857142857142857,0.7904761904761904,0.5277986629117476,imbalance_weighting
4,0,True,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
4,1,True,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858,imbalance_weighting
4,2,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
4,3,True,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329,imbalance_weighting
4,4,True,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
5,0,True,0.8333333333333334,0.9047619047619048,0.8666666666666667,0.9047619047619048,0.8611111111111112,0.768273325346536,imbalance_weighting
5,1,True,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365,imbalance_weighting
5,2,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
5,3,True,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
5,4,True,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
6,0,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
6,1,True,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365,imbalance_weighting
6,2,True,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365,imbalance_weighting
6,3,True,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631,imbalance_weighting
6,4,True,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
7,0,True,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
7,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
