repeat,fold,weighted,inner_best_balanced_accuracy,best_params,sensitivity_set
2,0,False,0.688888888888889,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
2,1,False,0.762962962962963,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
2,2,False,0.9111111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
2,3,False,0.6277777777777778,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
2,4,False,0.8888888888888888,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
3,0,False,0.65,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
3,1,False,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
3,2,False,0.7654320987654321,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
3,3,False,0.6055555555555555,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
3,4,False,0.8777777777777778,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
4,0,False,0.8777777777777778,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
